,Sensor,acc_cross,std_acc,acc_sem,pod,param,acc_com_cross_optuna,std_acc_otm,acc_sem_cross_optuna,pod_optuna
0,S1,0.3811,0.1193,0.6494,1.0000,"{'max_features': 2, 'max_depth': 1}",0.4730,0.1923,0.6299,1.0000
1,S10,0.3558,0.0647,0.6364,0.4727,"{'max_features': 3, 'max_depth': 1}",0.4378,0.1915,0.6234,1.0000
2,S11,0.3478,0.0364,0.5974,0.3789,"{'max_features': 1, 'max_depth': 36}",0.3713,0.0577,0.5844,0.9688
3,S12,0.4239,0.0675,0.6429,0.9961,"{'max_features': 5, 'max_depth': 2}",0.4886,0.1102,0.6429,0.9688
4,S13,0.4438,0.1269,0.7273,0.0000,"{'max_features': 5, 'max_depth': 3}",0.4906,0.1266,0.7078,0.0000
5,S14,0.4810,0.1558,0.7013,0.0000,"{'max_features': 5, 'max_depth': 1}",0.6586,0.1627,0.7338,0.0000
6,S15,0.3709,0.1181,0.6818,0.3867,"{'max_features': 6, 'max_depth': 21}",0.3767,0.1111,0.7208,0.2891
7,S16,0.5198,0.1406,0.6688,1.0000,"{'max_features': 6, 'max_depth': 1}",0.6270,0.0593,0.6558,1.0000
8,S17,0.5254,0.1454,0.8117,0.0000,"{'max_features': 7, 'max_depth': 1}",0.8044,0.0852,0.8442,0.0000
9,S18,0.7306,0.1122,0.9091,0.0000,"{'max_features': 5, 'max_depth': 1}",0.8375,0.0885,0.8831,0.0000
10,S19,0.3924,0.0997,0.6429,0.0078,"{'max_features': 4, 'max_depth': 42}",0.3945,0.0838,0.6169,0.0273
11,S2,0.4022,0.0807,0.6234,0.0000,"{'max_features': 2, 'max_depth': 1}",0.4786,0.1258,0.5714,0.9648
12,S20,0.3690,0.0517,0.6948,1.0000,"{'max_features': 2, 'max_depth': 1}",0.4412,0.1241,0.6429,1.0000
13,S21,0.4045,0.0906,0.6883,0.0000,"{'max_features': 4, 'max_depth': 1}",0.5157,0.1631,0.6169,1.0000
14,S22,0.4962,0.0938,0.6688,0.0000,"{'max_features': 4, 'max_depth': 36}",0.5021,0.0813,0.6623,0.0000
15,S23,0.4452,0.0945,0.7078,0.0000,"{'max_features': 6, 'max_depth': 9}",0.4647,0.1093,0.7273,0.0000
16,S24,0.5369,0.1611,0.7338,0.0000,"{'max_features': 5, 'max_depth': 1}",0.7535,0.1100,0.7403,0.0000
17,S25,0.3434,0.0966,0.6299,0.0000,"{'max_features': 4, 'max_depth': 1}",0.4840,0.2238,0.6558,0.0000
18,S26,0.4045,0.0555,0.7273,0.0000,"{'max_features': 7, 'max_depth': 1}",0.4943,0.0783,0.6364,0.0000
19,S27,0.4732,0.1407,0.6558,1.0000,"{'max_features': 3, 'max_depth': 1}",0.6272,0.1361,0.6623,1.0000
20,S28,0.6072,0.1924,0.8701,1.0000,"{'max_features': 6, 'max_depth': 3}",0.7268,0.1893,0.8766,1.0000
21,S29,0.4690,0.1306,0.6688,1.0000,"{'max_features': 6, 'max_depth': 1}",0.6976,0.1022,0.7078,1.0000
22,S3,0.2833,0.0475,0.5065,0.0000,"{'max_features': 1, 'max_depth': 43}",0.2833,0.0618,0.5130,0.0000
23,S30,0.4061,0.1099,0.7338,0.0312,"{'max_features': 4, 'max_depth': 1}",0.5666,0.1517,0.6948,0.0273
24,S4,0.6875,0.2064,0.8506,0.0000,"{'max_features': 3, 'max_depth': 1}",0.8454,0.0713,0.8506,0.0000
25,S5,0.5669,0.1464,0.7922,1.0000,"{'max_features': 6, 'max_depth': 1}",0.6549,0.1402,0.6883,1.0000
26,S6,0.3553,0.0793,0.6948,0.9297,"{'max_features': 3, 'max_depth': 2}",0.4590,0.1801,0.7273,0.0273
27,S7,0.6450,0.1905,0.8896,0.0000,"{'max_features': 6, 'max_depth': 1}",0.7233,0.1722,0.8182,0.0000
28,S8,0.3358,0.0778,0.6883,0.8008,"{'max_features': 6, 'max_depth': 18}",0.3553,0.0584,0.7078,0.9180
29,S9,0.3239,0.0768,0.5779,0.0000,"{'max_features': 4, 'max_depth': 1}",0.3791,0.1598,0.5909,0.0000
